Goal, Target, Indicator, SeriesCode, SeriesDescription, GeoAreaCode, GeoAreaName, TimePeriod, Value, Time_Detail,  UpperBound, LowerBound, BasePeriod, Source, FootNote, Nature, Units,[Reporting Type]
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","9","Oceania","2005","12.6","2005","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","9","Oceania","2008","11.3","2008","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","9","Oceania","2010","9.7","2010","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","9","Oceania","2011","9.7","2011","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","9","Oceania","2012","9.6","2012","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","9","Oceania","2013","9.4","2013","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","9","Oceania","2015","8","2015","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","11","Western Africa","2002","53.5","2002","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","11","Western Africa","2005","50.1","2005","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","11","Western Africa","2008","48.9","2008","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","11","Western Africa","2010","47.7","2010","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","11","Western Africa","2011","46.3","2011","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","11","Western Africa","2012","44.6","2012","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","11","Western Africa","2013","42.7","2013","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","12","Algeria","2011","0.5","2011","","","","World Development Indicators database, World Bank","Estimated from grouped consumption data.","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","13","Central America","2002","8.4","2002","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","13","Central America","2005","8.1","2005","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","13","Central America","2008","5.5","2008","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","13","Central America","2010","5.4","2010","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","13","Central America","2011","5","2011","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","13","Central America","2012","4.9","2012","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","13","Central America","2013","4.9","2013","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","13","Central America","2015","4.3","2015","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","14","Eastern Africa","2002","59.5","2002","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","14","Eastern Africa","2005","53.5","2005","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","14","Eastern Africa","2008","50.5","2008","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","14","Eastern Africa","2010","48.7","2010","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","14","Eastern Africa","2011","46.8","2011","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","14","Eastern Africa","2012","46.3","2012","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","14","Eastern Africa","2013","45.1","2013","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","14","Eastern Africa","2015","43.8","2015","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","15","Northern Africa","2002","8","2002","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","15","Northern Africa","2005","7.2","2005","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","15","Northern Africa","2008","5","2008","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","15","Northern Africa","2010","4.4","2010","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","15","Northern Africa","2011","3.7","2011","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","15","Northern Africa","2012","2.9","2012","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","15","Northern Africa","2013","2.7","2013","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","15","Northern Africa","2015","2.2","2015","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","17","Middle Africa","2002","67","2002","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","17","Middle Africa","2005","64.4","2005","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","17","Middle Africa","2010","59.3","2010","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","17","Middle Africa","2011","57.7","2011","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","17","Middle Africa","2012","55.1","2012","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","17","Middle Africa","2013","53.4","2013","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","18","Southern Africa","2002","34.9","2002","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","18","Southern Africa","2005","27.8","2005","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","18","Southern Africa","2008","19.6","2008","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","18","Southern Africa","2010","18.7","2010","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","18","Southern Africa","2011","18.7","2011","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","18","Southern Africa","2012","19","2012","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","18","Southern Africa","2013","19.2","2013","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","18","Southern Africa","2015","20.2","2015","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","21","Northern America","2002","0.8","2002","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","21","Northern America","2005","0.9","2005","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","21","Northern America","2008","0.9","2008","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","21","Northern America","2010","0.9","2010","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","21","Northern America","2011","0.9","2011","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","21","Northern America","2012","0.9","2012","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","21","Northern America","2013","0.9","2013","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","21","Northern America","2015","1.1","2015","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","24","Angola","2000","32.3","2000","","","","World Development Indicators database, World Bank","Estimated from unit-record consumption data.","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","24","Angola","2008","30.1","2008","","","","World Development Indicators database, World Bank","Estimated from unit-record consumption data.","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","29","Caribbean","2002","25.7","2002","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","29","Caribbean","2010","24.8","2010","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","29","Caribbean","2011","24.2","2011","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","29","Caribbean","2012","11.7","2012","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","29","Caribbean","2013","11.1","2013","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","30","Eastern Asia","2002","24.9","2002","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","30","Eastern Asia","2005","15.4","2005","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","30","Eastern Asia","2008","13.1","2008","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","30","Eastern Asia","2010","10.3","2010","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","30","Eastern Asia","2011","7.5","2011","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","30","Eastern Asia","2012","6.3","2012","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","30","Eastern Asia","2013","1.8","2013","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","30","Eastern Asia","2015","0.7","2015","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","31","Azerbaijan","2001","2.7","2001","","","","World Development Indicators database, World Bank","Estimated from unit-record consumption data.","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","31","Azerbaijan","2002","0","2002","","","","World Development Indicators database, World Bank","Estimated from unit-record consumption data.","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","31","Azerbaijan","2003","0","2003","","","","World Development Indicators database, World Bank","Estimated from unit-record consumption data.","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","31","Azerbaijan","2004","0","2004","","","","World Development Indicators database, World Bank","Estimated from unit-record consumption data.","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","31","Azerbaijan","2005","0","2005","","","","World Development Indicators database, World Bank","Estimated from unit-record consumption data.","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","32","Argentina","2000","5.7","2000","","","","World Development Indicators database, World Bank","Estimated from unit-record income data. Urban only. PPP is regression based.","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","32","Argentina","2001","9.4","2001","","","","World Development Indicators database, World Bank","Estimated from unit-record income data. Urban only. PPP is regression based.","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","32","Argentina","2002","14","2002","","","","World Development Indicators database, World Bank","Estimated from unit-record income data. Urban only. PPP is regression based.","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","32","Argentina","2003","7","2003","","","","World Development Indicators database, World Bank","Estimated from unit-record income data. Urban only. PPP is regression based.","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","32","Argentina","2004","5.4","2004","","","","World Development Indicators database, World Bank","Estimated from unit-record income data. Urban only. PPP is regression based.","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","32","Argentina","2005","3.9","2005","","","","World Development Indicators database, World Bank","Estimated from unit-record income data. Urban only. PPP is regression based.","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","32","Argentina","2006","3.3","2006","","","","World Development Indicators database, World Bank","Estimated from unit-record income data. Urban only. PPP is regression based.","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","32","Argentina","2007","2.9","2007","","","","World Development Indicators database, World Bank","Estimated from unit-record income data. Urban only. PPP is regression based.","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","32","Argentina","2008","2.6","2008","","","","World Development Indicators database, World Bank","Estimated from unit-record income data. Urban only. PPP is regression based.","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","32","Argentina","2009","2.6","2009","","","","World Development Indicators database, World Bank","Estimated from unit-record income data. Urban only. PPP is regression based.","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","32","Argentina","2010","1.1","2010","","","","World Development Indicators database, World Bank","Estimated from unit-record income data. Urban only. PPP is regression based.","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","32","Argentina","2011","0.9","2011","","","","World Development Indicators database, World Bank","Estimated from unit-record income data. Urban only. PPP is regression based.","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","32","Argentina","2012","0.8","2012","","","","World Development Indicators database, World Bank","Estimated from unit-record income data. Urban only. PPP is regression based.","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","32","Argentina","2013","0.8","2013","","","","World Development Indicators database, World Bank","Estimated from unit-record income data. Urban only. PPP is regression based.","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","32","Argentina","2014","0.7","2014","","","","World Development Indicators database, World Bank","Estimated from unit-record income data. Urban only. PPP is regression based.","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","32","Argentina","2016","0.6","2016","","","","World Development Indicators database, World Bank","Estimated from unit-record income data. Urban only. PPP is regression based.","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","32","Argentina","2017","0.4","2017","","","","World Development Indicators database, World Bank","Estimated from unit-record income data. Urban only. PPP is regression based.","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","34","Southern Asia","2002","35","2002","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","34","Southern Asia","2005","31.3","2005","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","34","Southern Asia","2008","27.6","2008","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","34","Southern Asia","2010","23","2010","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","34","Southern Asia","2011","18.4","2011","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","34","Southern Asia","2012","17","2012","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","34","Southern Asia","2013","15.1","2013","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","35","South-Eastern Asia","2002","23.5","2002","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","35","South-Eastern Asia","2005","19.7","2005","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","35","South-Eastern Asia","2008","17.7","2008","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","35","South-Eastern Asia","2010","12.4","2010","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","35","South-Eastern Asia","2011","10.8","2011","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","35","South-Eastern Asia","2012","9.5","2012","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","35","South-Eastern Asia","2013","7.9","2013","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","35","South-Eastern Asia","2015","6","2015","","","","World Development Indicators database, World Bank","","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","36","Australia","2001","0.7","2001","","","","World Development Indicators database, World Bank","Estimated from unit-record income data.","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","36","Australia","2003","1","2003","","","","World Development Indicators database, World Bank","Estimated from unit-record income data.","G","PERCENT","G"
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","36","Australia","2004","0.7","2004","","","","World Development Indicators database, World Bank","Estimated from unit-record income data.","G","PERCENT","G"
