reading_score,math_score,knowledge_score,p2income,incomecat
43.02,34.22,31.8,25000,1
27.24,15.62,18.132,6765,1
29.58,19.33,24.955,8000,1
26.18,17.17,20.68,1000,1
25.81,24.26,14.616,6000,1
33.99,22.32,14.379,23900,1
46.13,30.16,25.176,45000,2
25.32,19.54,14.549,16500,1
29.51,20.16,13.006,15000,1
27.32,14.54,8.225,15000,1
23.93,18.88,10.748,19000,1
25.46,15.17,12.692,25000,1
27.37,18.57,18.193,55000,2
27.89,22.38,25.661,50000,2
28.96,24.01,27.023,55000,2
29.09,16.4,12.524,1,1
27.53,20.12,16.141,65000,2
32.44,20.92,25.939,70000,3
45.96,52.78,26.491,70000,3
27.26,23.61,24.338,15000,1
36.2,31.74,29.369,68000,2
22.51,15.74,11.154,9600,1
26.93,23.26,20.653,20000,1
26.15,19.17,18.803,10000,1
30.71,29.53,14.507,15000,1
34.23,34.08,17.974,55000,2
37.81,26.52,25.397,4000,1
45.86,32.98,19.559,16000,1
29.58,15.33,11.061,5900,1
25.86,14.03,16.486,64000,2
26.95,18.42,17.304,4000,1
35.46,39.9,26.767,25000,1
43.36,38.06,26.162,40000,2
28.63,19.77,18.819,30000,1
28.78,21.37,21.548,40000,2
28.56,12.57,16.956,40000,2
30.53,26.74,15.745,14000,1
28.24,14.35,24.427,9000,1
39.32,17.66,9.697,12000,1
43.19,32.63,29.717,12000,1
28.97,19.78,15.512,22000,1
24.19,16.19,10.488,23000,1
35.46,28.52,31.336,30000,1
29.14,12.39,11.141,5800,1
77.6,42.97,23.847,23000,1
28.21,23.41,13.782,23000,1
31.48,18.75,15.22,32000,1
27.19,24.03,15.298,25000,1
32.05,29.53,24.668,40000,2
33.59,24.03,20.11,53000,2
39.25,32.74,21.669,21000,1
37.89,29.1,18.304,24000,1
39,23.49,17.903,14999,1
31.56,35.65,30.828,30000,1
46.62,30.87,25.204,25000,1
25.28,21.28,16.486,38000,1
46.02,41.32,24.127,34000,1
46.47,33.15,32.783,45000,2
50.99,51.99,43.775,125000,3
77.58,44.95,40.921,70000,3
40.64,43.62,26.229,58000,2
41.93,32.88,33.725,100000,3
50.15,40.67,35.691,150000,3
54.06,39.76,37.217,100000,3
50.82,36.01,38.211,150000,3
34.02,23.41,35.247,40000,2
44.02,35.62,29.1,125000,3
42.84,33.18,33.37,120000,3
42.55,31.15,31.676,100000,3
51.01,32.69,36.244,150000,3
63.6,58.09,37.236,80000,3
37.37,35.42,17.918,19000,1
41.47,34.76,28.415,50000,2
34.6,27.98,20.304,1020,1
33.67,20.52,13.878,28000,1
44.25,27.34,29.132,70000,3
34.34,25.07,25.738,15000,1
29.64,29.35,30.976,65000,2
44.6,32.47,26.95,85000,3
31.65,26.32,30.293,93000,3
72.39,48.96,29.37,140000,3
36.14,21.1,28.544,150000,3
39.95,34.29,25.123,65000,2
33.11,24.1,16.464,23000,1
45.14,42.76,22.563,70000,3
37.48,28.25,18.673,24000,1
41.23,40.7,23.26,37000,1
27.32,20.59,21.948,3000,1
37.15,28.62,22.839,19000,1
25.89,13.59,12.199,11000,1
51.44,40.14,29.856,50000,2
28.57,20.47,11.198,5000,1
31.41,25.42,18.637,55000,2
27.43,19.15,13.716,75000,3
25.81,22.23,25.043,71000,3
30.95,28.8,32.829,55000,2
31.4,23.99,28.877,37000,1
34.71,27.3,26.335,5000,1
34.96,31.86,29.859,50000,2
35.51,21.11,21.872,50000,2
26.01,15.01,22.816,55000,2
33.16,27.55,35.054,15000,1
31.55,20.58,11.457,14000,1
45.01,29.17,27.523,125000,3
42.19,34.74,37.188,150000,3
40.36,47.26,37.722,100000,3
34.47,25.76,28.462,150000,3
32.56,22.43,11.554,100000,3
43.99,35.76,42.276,70000,3
40.81,28.51,39.627,150000,3
48.72,47.15,31.982,150000,3
32.77,27.68,25.658,150000,3
40.81,41.97,32.569,125000,3
38.45,18.78,30.741,150000,3
44.68,35.73,30.727,100000,3
53.35,32.84,33.841,80000,3
34.88,25.19,30.812,45000,2
46.79,40.46,27.534,90000,3
28.05,29.92,22.83,110000,3
38.07,32.36,35.099,65000,2
32.03,30.08,25.716,110000,3
45.62,37.57,31.201,150000,3
36.16,31.81,25.455,45000,2
34.55,42.09,33.146,60000,2
44.09,26.17,30.575,125000,3
42.4,41.07,25.469,150000,3
49.54,52.18,30.853,90000,3
48.82,44.87,27.29,100000,3
44.42,26.84,26.516,90000,3
34.41,23.13,29.993,120000,3
41.88,28.39,22.121,80000,3
27.48,13.3,9.232,20000,1
32.8,21.57,23.53,23000,1
35.21,24.81,17.256,19000,1
31.96,24.23,16.401,25000,1
40.35,32.22,21.141,69000,2
35.42,37.48,32.298,85000,3
36.49,30.7,16.478,1260,1
32.96,24.51,21.681,26500,1
30.37,16.98,11.384,53000,2
33.7,22.79,26.287,30000,1
31.88,16.13,22.312,80000,3
34.72,28.33,32.208,21000,1
42.82,30.44,34.246,100000,3
33.67,26.21,20.17,22000,1
71.23,37.45,23.901,85000,3
23.69,19.56,26.839,45000,2
32.78,33.1,23.568,50000,2
39.05,32.77,23.62,19000,1
35.74,25.56,19.8,75000,3
27.76,20.94,16.856,70000,3
39.3,34.82,35.668,80000,3
58.32,40.68,35.806,150000,3
30.08,23.65,25.681,70000,3
28.75,23.39,23.83,27000,1
33.05,32.53,25.993,75000,3
27.83,19.69,20.403,100000,3
23.95,23.37,19.158,35000,1
25.49,13.29,18.293,65000,2
32.78,22.04,27.362,60000,2
26.09,24.69,20.534,24000,1
29.23,20.89,19.31,16000,1
24.34,16.38,12.825,28000,1
35.84,21.55,18.175,58000,2
36.63,23.2,25.779,26000,1
22.56,14.81,18.54,20000,1
33.96,21.93,26.53,50000,2
37.33,35.27,29.625,55000,2
40.29,30.9,25.389,80000,3
33.58,25.07,29.06,60000,2
32.78,22.42,25.036,100000,3
40.08,24.42,30.641,150000,3
27.29,22.77,18.679,80000,3
39.45,33.53,35.265,100000,3
33.69,24.17,25.223,47000,2
40.44,40.53,33.187,100000,3
53.73,29.71,29.915,87000,3
32.2,24.82,20.908,16000,1
39.4,40.86,33.464,110000,3
34.46,38.89,30.523,40000,2
30.6,16.93,28.855,65000,2
39.09,30.28,30.405,65000,2
54.09,39.32,26.894,58000,2
38.05,24.78,35.643,75000,3
42.86,33.45,34.566,100000,3
45.23,30.75,29.453,135000,3
31.62,24.11,30.52,40000,2
26.76,31.27,37.506,80000,3
36.79,39.22,33.739,54000,2
48.59,48.78,34.994,150000,3
35.13,28.21,33.833,150000,3
29.27,31.25,33.779,1,1
46.07,43.68,46.024,150000,3
30.32,21.86,18.181,75000,3
36.62,26.96,30.221,125000,3
55.75,27.33,23.796,47000,2
28.13,18.24,18.784,85000,3
47.25,36.53,25.841,48000,2
33.01,31.77,25.664,49000,2
32.08,28.53,23.241,65000,2
29.81,23.48,19.511,70000,3
27.84,26.6,27.763,75000,3
35.09,37.07,26.887,30000,1
36.27,34.63,25.026,38000,1
36.4,68.44,25.95,110000,3
43.02,41.77,23.024,80000,3
35.78,29.18,28.047,80000,3
45.5,31.65,28.847,50000,2
43.81,26.05,33.105,70000,3
26.54,20.29,24.34,60000,2
37.06,31.39,29.808,42000,2
29.84,28.37,27.203,150000,3
70.86,35.6,24.483,150000,3
50.81,50.08,42.643,150000,3
29.08,27.54,27.606,85000,3
34.47,28.6,37.118,100000,3
31.97,28.06,35.381,40000,2
40.12,26.57,29.442,120000,3
38.57,27.97,34.991,100000,3
26.04,23.82,22.433,50000,2
32.75,28,24.586,52000,2
35.97,35.03,35.475,87000,3
28.69,23.27,31.212,100000,3
41.75,47.79,37.806,130000,3
50.91,55.25,33.351,130000,3
44,28.3,32.025,120000,3
35.52,40.04,23.317,85000,3
32.07,21,11.359,90000,3
29.76,27.79,27.073,100000,3
29.12,19.95,10.22,90000,3
44.34,27.97,11.801,55000,2
26.02,21.26,18.88,34000,1
26.56,19.89,21.311,96000,3
33.53,27.69,21.173,44000,2
29.76,22.6,16.837,24000,1
29.79,22.62,25.247,36000,1
30.19,17.28,11.694,43000,2
26.38,14.76,9.402,11000,1
37.16,23.19,22.322,48000,2
30.93,23.35,23.581,45000,2
41.45,27.26,23.764,28000,1
25.58,18.79,11.112,23000,1
30.95,14.22,24.956,20000,1
34.47,24.09,20.206,96000,3
25.46,13.01,11.162,30000,1
32.88,27.06,27.474,70000,3
32.19,26.27,23.779,90000,3
36.03,23.32,22.351,70000,3
30.87,19.7,8.609,29500,1
23.68,17.22,24.272,70000,3
27.78,22.47,26.678,19800,1
28.28,19.76,22.514,25000,1
34.69,22.91,14.381,24000,1
27.32,23.19,15.382,50000,2
25.11,16.73,25.109,70000,3
31.44,26.09,17.924,80000,3
41.55,30.53,14.594,24000,1
39.61,33.13,25.235,54000,2
33.32,18.02,14.727,45000,2
46.48,25.13,35.428,60000,2
26.76,19.4,14.578,7000,1
28.39,15.3,11.411,75000,3
30.16,18.19,16.115,24000,1
26.26,16.98,11.239,13000,1
40.79,28.6,20.58,16700,1
36.21,30.25,12.045,30000,1
35.8,27.1,18.849,4000,1
26.68,18.45,16.804,22000,1
25.74,15.51,13.455,24000,1
29.75,13.9,12.743,19000,1
34.03,29.48,18.166,16700,1
26.62,21.46,21.373,70000,3
38.5,40.4,31.555,7600,1
39.83,39.8,33.173,120000,3
26.48,21.17,21.004,55000,2
38.37,26.76,21.684,25000,1
74.8,44.86,25.429,55000,2
26.27,16.36,23.714,38000,1
33.84,25.96,14.511,20000,1
46.54,33.61,24.36,45000,2
30.24,22.64,21.423,75000,3
27.38,21.06,23.893,35000,1
34.63,25.53,29.999,25000,1
28.94,34.61,28.861,60000,2
53.95,40.44,35.448,34000,1
29.37,20.97,24.612,60000,2
28.82,17.07,17.667,50000,2
35.82,22.66,17.08,45000,2
33.97,21.19,21.263,50000,2
48.76,36.72,32.387,80000,3
38.18,28.59,37.001,65000,2
35.62,24.04,39.393,25000,1
39.92,31.46,36.785,24000,1
35.37,21.36,28.513,5400,1
34.05,30.56,30.181,43000,2
38.72,26.78,29.189,70000,3
33.82,27.9,20.547,110000,3
38.02,20.58,23.124,80000,3
40.43,27.06,22.683,43000,2
35.83,29.28,36.018,150000,3
34.65,20.98,27.705,150000,3
36.05,25.61,28.846,150000,3
39.95,27.43,31.837,11000,1
35.05,29.26,31.446,38000,1
33.69,22.32,11.187,28000,1
36.18,35.42,25.674,52000,2
31.16,30.45,29.103,70000,3
25.6,27.35,25.278,50000,2
32.25,17.31,15.842,40000,2
34.37,24.75,24.992,54000,2
31.32,25.76,17.899,65000,2
24.58,18.11,10.722,28000,1
32.8,22.09,19.483,60000,2
33.43,20.68,15.007,29000,1
32.37,18.5,19.109,45000,2
39.65,24.42,30.662,12000,1
37.22,22.85,20.746,54000,2
28.97,20.67,26.283,45000,2
24.91,16.03,25.725,6000,1
33.22,20.69,22.954,33000,1
33.65,22.09,18.585,85000,3
30.91,31.81,28.102,45000,2
33.48,24.6,35.028,96000,3
24.14,15.28,16.285,46000,2
32.54,27.89,25.105,39000,1
44.95,36.03,27.175,70000,3
24.36,15.75,13.297,30000,1
25.77,18.47,9.335,70000,3
40.44,32.32,24.972,38000,1
31.78,25.01,16.276,15000,1
44.06,39.15,34.26,85000,3
34.3,31.33,29.634,60000,2
27.92,21.77,20.218,70000,3
33.5,22.92,18.551,60000,2
26.39,12.86,10.571,25000,1
27.33,18.41,12.872,20000,1
29.75,25.13,14.857,25000,1
30.57,22.23,14.785,45000,2
26.5,18.35,13.847,15000,1
27.73,14.27,12.373,18000,1
32.13,27.98,14.307,25000,1
33.91,25.74,17.529,80000,3
30.8,25.12,32.057,33000,1
33.66,20.76,16.58,50000,2
26.35,14.37,10.4,40000,2
33.37,23.94,14.29,32000,1
31.74,21.64,10.658,40000,2
25.09,15.93,10.347,40000,2
21.61,12.29,9.993,17000,1
44.39,30.97,24.852,80000,3
33.97,21.42,30.109,100000,3
39.63,28.25,26.888,150000,3
34.59,33.44,27.153,14000,1
25.63,22.65,13.82,150000,3
43.6,27.64,27.712,85000,3
38.86,25.41,23.78,125000,3
33.02,23.99,20.433,80000,3
34.62,31.39,31.099,95000,3
32.26,22.89,16.813,40000,2
25.84,16.89,18.242,50000,2
30.87,27.46,21.328,95000,3
38.95,22.52,26.96,80000,3
42.98,32.6,36.312,150000,3
40.59,28.37,29.681,150000,3
49.66,35.63,30.949,150000,3
33.22,21.47,23.837,150000,3
42.25,29.63,23.666,150000,3
40.38,39.18,38.84,150000,3
35.83,29.57,37.906,150000,3
37.56,26.57,20.548,150000,3
53.62,49.38,41.497,150000,3
50.31,36.59,33.469,150000,3
25.97,32.43,27.338,150000,3
42.52,34.82,29.581,150000,3
45.52,33.74,31.458,150000,3
36.32,30.88,28.869,150000,3
32.3,26.98,24.314,80000,3
41.38,31.13,32.484,150000,3
45.26,40.94,24.41,150000,3
32.47,22.73,16.989,100000,3
39.86,33.28,19.209,130000,3
43.76,26.82,25.83,86000,3
33.48,28.53,25.48,150000,3
24.27,13.85,14.446,60000,2
32.79,27.25,24.882,35000,1
35.32,26.8,19.731,120000,3
35.51,27.17,28.801,100000,3
66.86,24.5,15.077,150000,3
27.52,16.79,26.999,65000,2
29.65,46.93,26.649,100000,3
32.65,31.23,30.414,85000,3
24.35,16.45,15.533,26000,1
27.63,19.48,14.178,92000,3
30.2,21.61,27.628,150000,3
33.74,25.66,26.342,100000,3
34.72,45.33,30.057,97500,3
26.24,17.75,20.048,20000,1
33.29,23.83,12.335,50000,2
34.45,30.96,27.419,130000,3
33.33,18.64,28.305,100000,3
38.16,27.99,32.846,110000,3
28.77,17.98,10.402,150000,3
23.73,16.16,27.302,80000,3
34.68,28.96,42.236,150000,3
38.55,27.93,17.94,100000,3
32.31,20.69,16.138,100000,3
36.06,29.18,33.284,45000,2
25.82,17.58,11.452,60000,2
35.94,19.19,11.35,65000,2
33.81,29.58,20.231,75000,3
58.83,31.76,33.686,150000,3
34.25,25.88,20.152,115000,3
25.45,17.58,23.184,150000,3
32.68,21.11,25.553,90000,3
32.09,25.44,25.163,65000,2
35.51,34.81,27.142,125000,3
37.46,25.9,27.071,150000,3
42.32,28.22,15.968,150000,3
89.4,63.53,29.204,110000,3
32.39,22.2,10.962,45000,2
32,19.23,18.013,140000,3
59.16,32.51,25.585,90000,3
102.2,56.31,43.889,60000,2
55.58,33.26,31.084,80000,3
34.39,23.57,26.151,90000,3
43.34,22.42,18.903,140000,3
36.19,25.44,17.076,125000,3
27.26,24.56,16.331,60000,2
24.5,19.5,18.564,30000,1
42.69,28.62,26.176,40000,2
49.35,37.95,32.056,117000,3
38.75,61.66,36.437,65000,2
32.29,22.99,30.312,53000,2
35.84,25.54,19.861,87000,3
43.93,29.41,29.66,150000,3
43.37,51.08,24.311,40000,2
40.58,26.14,28.608,35000,1
34.58,28.71,21.477,70000,3
38.66,21.49,10.721,50000,2
30.73,24.12,16.485,60000,2
32.39,27,31.451,60000,2
24.63,14.82,12.067,95000,3
39.02,28.26,30.53,100000,3
35.94,22.34,27.585,67000,2
27.02,16.91,10.899,38000,1
26.53,17.75,11.962,35000,1
32.39,23.9,19.967,38000,1
29.48,19.05,22.069,49000,2
27.71,19.19,19.966,90000,3
31.81,17.68,9.768,100000,3
33.66,36.31,19.221,50000,2
29.42,23.46,27.015,60000,2
32,27.57,24.159,60000,2
34.3,20.3,16.832,52000,2
34.41,24.73,19.897,80000,3
38.54,23.96,14.614,85000,3
46.42,41.15,35.19,62000,2
30.18,18.72,24.21,110000,3
32.82,31.79,26.903,70000,3
32.41,19.37,22.313,100000,3
32.3,25.67,22.649,90000,3
45.77,27.58,23.378,150000,3
25.76,18.07,11.268,30000,1
37.28,23.36,22.787,110000,3
47.51,44.06,29.012,150000,3
34.08,29.95,31.545,140000,3
48.82,27.98,28.637,110,1
34.88,18.15,19.615,150000,3
25.28,22.92,24.966,100000,3
31.14,30.04,33.574,120000,3
29.97,25.18,19.317,125000,3
34.84,24.58,31.02,150000,3
36.8,27.01,22.62,140000,3
29.64,19.08,11.528,53000,2
31.21,20.78,25.769,32000,1
23.6,17.55,12.159,68000,2
29.56,14.5,17.559,30000,1
30.39,18.55,10.118,28000,1
30.75,20.71,17.675,53132,2
25.58,16.04,10.905,45000,2
24.15,13.21,10.657,17000,1
37.69,26.27,13.376,45000,2
25.96,23.34,26.389,55000,2
41.93,25.05,35.139,150000,3
28.5,28.74,21.851,72000,3
44.07,33.1,30.179,70000,3
36.55,33.78,20.068,70000,3
26.81,24.65,23.115,100000,3
41.44,39.66,24.007,100000,3
38.01,35.91,27.828,75000,3
33.79,17.77,13.984,41000,2
34.02,23.79,27.144,120000,3
50.85,49.3,33.875,90000,3
33.89,24.35,29.446,60000,2
36.16,30.39,19.082,100000,3
30.87,18.98,19.962,63000,2
38.19,22.52,25.785,150000,3
37.39,38.07,21.289,100000,3
40.16,23.6,34.407,150000,3
34.17,23.5,19.554,150000,3
44.62,34.14,29.683,100000,3
26.69,18.4,23.814,42000,2
33.58,25.22,25.111,90000,3
38.88,30.36,34.358,135000,3
48.02,33.92,22.798,100000,3
30.87,21.69,25.048,100000,3
39.03,30.65,36.575,80000,3
41.61,31.84,31.212,110000,3
40.6,30.24,32.587,63000,2
47.02,41.51,33.261,104000,3
37.3,42.08,28.005,120000,3
53.27,48.47,35.809,150000,3
44.71,33.12,33.692,100000,3
42.23,43.49,25.673,150000,3
63.57,29.48,17.253,75000,3
29.14,21.22,28.032,98000,3
35.38,33.53,30.864,150000,3
38.9,29.74,30.368,100000,3
44.71,32.54,32.103,115000,3
31.66,32.93,28.123,150000,3
47.09,28.64,25.971,60000,2
33.65,28.72,21.791,90000,3
34.53,27.74,21.479,55000,2
28.89,26.49,20.895,97000,3
38.74,23.05,15.537,120000,3
36.79,24.49,20.904,70000,3
25.81,16.03,17.13,18720,1
44.48,31.42,21.033,80000,3
26.76,19.68,25.863,70000,3
39.94,26.12,25.363,60000,2
31.83,22.62,17.707,60000,2
41.26,30.75,16.208,60000,2
32.13,25.54,10.561,70000,3
36.27,28.49,17.17,54000,2
35.95,27.65,29.697,145000,3
31.31,19.31,25.397,28000,1
36.08,26.66,27.438,62000,2
42.36,34.58,31.715,59000,2
32.48,30.95,23.393,63000,2
40.31,30,29.175,100000,3
39.07,27.92,26.439,110000,3
29.44,20.07,16.906,80000,3
34.28,16.4,29.843,65000,2
26.77,22.78,24.501,40000,2
34.21,29.31,33.617,90000,3
32.14,16.16,25.019,38000,1
31.19,21.42,22.191,6000,1
27.92,19.15,13.897,58000,2
29.1,25.01,22.271,44000,2
36.19,25.92,16.729,78000,3
40.26,24.83,16.341,90000,3
34.93,23.19,17.298,115000,3
33.18,18.16,23.073,48000,2
27.48,12.14,13.44,30000,1
44.59,25.44,18.648,120000,3
29.34,22.76,12.031,50000,2
32.82,26.15,18.041,23000,1
32.02,20.14,11.58,70000,3
50.07,32.41,23.807,55000,2
43.26,32.7,23.049,80000,3
27.09,20.81,16.393,24000,1
39.38,31.84,26.172,103000,3
33.51,20.95,20.124,150000,3
33.02,32.03,29.941,120000,3
47.58,49.15,37.21,150000,3
40.74,33.2,31.206,70000,3
31.33,20.3,15.612,100000,3
